country,imfGDP,gdpPerCapita,pop,class,eu or not
Bosnia and Herzegovina,21343000000,6505.3878,3280.819,developing,not
Botswana,20873000000,8875.9825,2351.627,developing,not
Afghanistan,20682000000,531.2838,38928.346,developing,not
Mali,19332000000,954.6274,20250.833,developing,not
Georgia,18888000000,4734.8231,3989.167,developing,not
Gabon,17893000000,8039.1457,2225.734,developing,not
Albania,17210000000,5980.2689,2877.797,developing,not
Jamaica,16717000000,5645.4094,2961.167,developing,not
Malta,16338000000,37002.0587,441.543,advanced,eu
Mozambique,16294000000,521.3173,31255.435,developing,not
Burkina Faso,16266000000,778.1557,20903.273,developing,not
Mauritius,15757000000,12389.8384,1271.768,developing,not
Mongolia,14960000000,4563.3547,3278.29,developing,not
Namibia,14627000000,5756.6103,2540.905,developing,not
Brunei,14281000000,32643.8526,437.479,developing,not
Armenia,13868000000,4680.0077,2963.243,developing,not
Bahamas,13710000000,34863.8504,393.244,developing,not
North Macedonia,13700000000,6575.8716,2083.374,developing,not
Guinea,13603000000,1035.8039,13132.795,developing,not
Madagascar,13542000000,489.0394,27691.018,developing,not
Moldova,12793000000,3171.3231,4033.963,developing,not
Chad,12547000000,763.8563,16425.864,developing,not
Nicaragua,12459000000,1880.7304,6624.554,developing,not
Equatorial Guinea,12263000000,8740.6494,1402.985,developing,not
Benin,12129000000,1000.4784,12123.2,developing,not
Republic of the Congo,11367000000,2059.953,5518.087,developing,not
Rwanda,11062000000,854.0622,12952.218,developing,not
Niger,10628000000,439.053,24206.644,developing,not
Haiti,9648000000,846.1282,11402.528,developing,not
Kyrgyzstan,8781000000,1345.9132,6524.195,developing,not
Somalia,8341000000,524.8149,15893.222,developing,not
Eritrea,8116000000,2288.5044,3546.421,developing,not
Malawi,7861000000,410.9263,19129.952,developing,not
Tajikistan,7838000000,821.7962,9537.645,developing,not
Maldives,6213000000,11493.9764,540.544,developing,not
Togo,6132000000,740.6939,8278.724,developing,not
Montenegro,5740000000,9139.1669,628.066,developing,not
Mauritania,5697000000,1225.2514,4649.658,developing,not
Fiji,5671000000,6326.0992,896.445,developing,not
Barbados,5339000000,18578.5124,287.375,developing,not
Eswatini,4812000000,4147.6895,1160.164,developing,not
Guyana,4609000000,5859.7524,786.552,developing,not
Sierra Leone,4221000000,529.1474,7976.983,developing,not
Suriname,3919000000,6680.5084,586.632,developing,not
Burundi,3714000000,312.3427,11890.784,developing,not
East Timor,3413000000,2588.6556,1318.445,developing,not
Liberia,3217000000,636.0623,5057.681,developing,not
Aruba,2952000000,27649.2516,106.766,developing,not
Bhutan,2939000000,3808.9289,771.608,developing,not
Lesotho,2892000000,1349.9831,2142.249,developing,not
South Sudan,2796000000,249.7828,11193.725,developing,not
Djibouti,2599000000,2630.5668,988,developing,not
Central African Republic,2485000000,514.5176,4829.767,developing,not
Cape Verde,2208000000,3971.3159,555.987,developing,not
Belize,2071000000,5208.3857,397.628,developing,not
Saint Lucia,2069000000,11267.4062,183.627,developing,not
Gambia,1870000000,773.7927,2416.668,developing,not
Antigua and Barbuda,1809000000,18472.5669,97.929,developing,not
Seychelles,1739000000,17682.2882,98.347,developing,not
San Marino,1672000000,49276.4728,33.931,developing,not
Guinea-Bissau,1669000000,848.0687,1968.001,developing,not
Solomon Islands,1607000000,2339.5508,686.884,developing,not
Grenada,1330000000,11819.8057,112.523,developing,not
Saint Kitts and Nevis,1118000000,21015.4326,53.199,developing,not
Vanuatu,994000000,3236.2565,307.145,developing,not
Samoa,960000000,4838.3683,198.414,developing,not
Saint Vincent and the Grenadines,903000000,8139.5349,110.94,developing,not
Comoros,773000000,888.9134,869.601,developing,not
Dominica,590000000,8196.0381,71.986,developing,not
Sao Tome and Principe,527000000,2404.6469,219.159,developing,not
Tonga,512000000,4844.127,105.695,developing,not
Micronesia,389000000,3381.9323,115.023,developing,not
Palau,324000000,17906.4883,18.094,developing,not
Marshall Islands,228000000,3852.002,59.19,developing,not
Kiribati,196000000,1640.8677,119.449,developing,not
Nauru,117000000,10809.3126,10.824,developing,not
Tuvalu,53000000,4494.5726,11.792,developing,not
Andorra,0,36994.8441,77.265,developing,not
Bermuda,0,98386.9264,62.278,developing,not
British Virgin Islands,0,32127.191,30.231,developing,not
Cayman Islands,0,58490.0129,65.722,developing,not
Cook Islands,0,16522.1017,17.564,developing,not
Cuba,0,7918.4021,11326.616,developing,not
French Polynesia,0,19287.2191,280.908,developing,not
Palestine,0,2626.1542,5101.414,developing,not
Greenland,0,40213.6319,56.77,developing,not
North Korea,0,651.2557,25778.816,developing,not
Liechtenstein,0,162444.3334,38.128,developing,not
Monaco,0,164823.4258,39.242,developing,not
Montserrat,0,12430.1633,4.992,developing,not
Curacao,0,19022.4444,164.093,developing,not
Sint Maarten,0,25003.8959,42.876,developing,not
New Caledonia,0,33085.0474,285.498,developing,not
Pakistan,0,1278.9308,220892.34,developing,not
Anguilla,0,22496.8653,15.003,developing,not
Sudan,0,1890.2804,43849.26,developing,not
Syria,0,1266.4138,17500.658,developing,not
Turks and Caicos Islands,0,23698.9047,38.717,developing,not
