imfGDP,gdpPerCapita,pop,eu_or_not,class
8116000000,2288.5044,3546.421,not,developing
7861000000,410.9263,19129.952,not,developing
7838000000,821.7962,9537.645,not,developing
6213000000,11493.9764,540.544,not,developing
6132000000,740.6939,8278.724,not,developing
5740000000,9139.1669,628.066,not,developing
5697000000,1225.2514,4649.658,not,developing
5671000000,6326.0992,896.445,not,developing
5339000000,18578.5124,287.375,not,developing
4812000000,4147.6895,1160.164,not,developing
4609000000,5859.7524,786.552,not,developing
4221000000,529.1474,7976.983,not,developing
3919000000,6680.5084,586.632,not,developing
3714000000,312.3427,11890.784,not,developing
3413000000,2588.6556,1318.445,not,developing
3217000000,636.0623,5057.681,not,developing
2952000000,27649.2516,106.766,not,developing
2939000000,3808.9289,771.608,not,developing
2892000000,1349.9831,2142.249,not,developing
2796000000,249.7828,11193.725,not,developing
2599000000,2630.5668,988,not,developing
2485000000,514.5176,4829.767,not,developing
2208000000,3971.3159,555.987,not,developing
2071000000,5208.3857,397.628,not,developing
2069000000,11267.4062,183.627,not,developing
1870000000,773.7927,2416.668,not,developing
1809000000,18472.5669,97.929,not,developing
1739000000,17682.2882,98.347,not,developing
1672000000,49276.4728,33.931,not,developing
1669000000,848.0687,1968.001,not,developing
1607000000,2339.5508,686.884,not,developing
1330000000,11819.8057,112.523,not,developing
1118000000,21015.4326,53.199,not,developing
994000000,3236.2565,307.145,not,developing
960000000,4838.3683,198.414,not,developing
903000000,8139.5349,110.94,not,developing
773000000,888.9134,869.601,not,developing
590000000,8196.0381,71.986,not,developing
527000000,2404.6469,219.159,not,developing
512000000,4844.127,105.695,not,developing
389000000,3381.9323,115.023,not,developing
324000000,17906.4883,18.094,not,developing
228000000,3852.002,59.19,not,developing
196000000,1640.8677,119.449,not,developing
117000000,10809.3126,10.824,not,developing
53000000,4494.5726,11.792,not,developing
0,36994.8441,77.265,not,developing
0,98386.9264,62.278,not,developing
0,32127.191,30.231,not,developing
0,58490.0129,65.722,not,developing
0,16522.1017,17.564,not,developing
0,7918.4021,11326.616,not,developing
0,19287.2191,280.908,not,developing
0,2626.1542,5101.414,not,developing
0,40213.6319,56.77,not,developing
0,651.2557,25778.816,not,developing
0,162444.3334,38.128,not,developing
